date,portfolio_return,wealth_index,running_max,drawdown
2023-01-03,0.0007586180620766975,1.0007589058855368,1.0007589058855368,0.0
2023-01-04,0.005133664002445645,1.0059096757044492,1.0059096757044492,0.0
2023-01-05,-0.010814329167132278,0.9950900463216266,1.0059096757044492,-0.010756064529596654
2023-01-06,0.021671376530095307,1.0168903858788303,1.0168903858788303,0.0
2023-01-09,0.005426999312919031,1.0224240513219864,1.0224240513219864,0.0
2023-01-10,0.005339268575953303,1.027897647427012,1.027897647427012,0.0
2023-01-11,0.0089960503249353,1.037186384722357,1.037186384722357,0.0
2023-01-12,0.0028905046696421884,1.0401887138434827,1.0401887138434827,0.0
2023-01-13,0.008855039738888728,1.049440528379043,1.049440528379043,0.0
2023-01-16,-2.2204460492503136e-16,1.0494405283790427,1.049440528379043,-2.220446049250313e-16
2023-01-17,-0.016116252817956166,1.032663037784583,1.049440528379043,-0.015987080869055426
2023-01-18,-0.01339234624772663,1.0189254514067483,1.049440528379043,-0.029077471421299017
2023-01-19,-0.011572910737422781,1.0072014891450094,1.049440528379043,-0.04024910234720547
2023-01-20,0.0026608868013439503,1.009885107112178,1.049440528379043,-0.037691913164400015
2023-01-23,0.005067386756700209,1.0150155735801516,1.049440528379043,-0.03280314974309573
2023-01-24,0.002722850242425722,1.0177830750168848,1.049440528379043,-0.030166028951689072
2023-01-25,0.0006684127561780672,1.018463601618242,1.049440528379043,-0.029517562856703816
2023-01-26,0.003263151401591681,1.021792430830363,1.049440528379043,-0.02634555918226733
2023-01-27,-0.003778854264250141,1.01793851243001,1.049440528379043,-0.030017914400247814
2023-01-30,0.0025219319164633152,1.0205089238925091,1.049440528379043,-0.027568598414262957
2023-01-31,0.01668114765996479,1.0376749604849236,1.049440528379043,-0.011211276462032904
2023-02-02,0.0034422869517068346,1.0412530904032729,1.049440528379043,-0.007801716966673977
2023-02-03,-0.0013497525169910386,1.039848604491102,1.049440528379043,-0.00914003569383448
2023-02-06,0.006458936690001021,1.0465866576994904,1.049440528379043,-0.002719421065203731
2023-02-07,0.003397228985022926,1.050148198487804,1.050148198487804,0.0
2023-02-08,-0.012369385983239667,1.0372385170969836,1.050148198487804,-0.012293199578316871
2023-02-09,-0.010276749019344493,1.02663366223228,1.050148198487804,-0.022391636046592778
2023-02-10,0.011642778865312045,1.0386563840725456,1.050148198487804,-0.010943040641127166
2023-02-13,0.010250332083979248,1.04935770930086,1.050148198487804,-0.0007527406018335014
2023-02-14,-0.007149201134597434,1.0418823930837793,1.050148198487804,-0.007871084686835061
2023-02-15,0.0035173686088214055,1.0455535300934287,1.050148198487804,-0.0043752571313188104
2023-02-16,-0.0022985975598434024,1.0431529833029185,1.050148198487804,-0.006661169532984568
2023-02-17,0.0032275737781686485,1.0465252757522907,1.050148198487804,-0.003449915679263449
2023-02-20,0.0,1.0465252757522907,1.050148198487804,-0.003449915679263449
2023-02-21,-0.010044126530824694,1.0360664562457362,1.050148198487804,-0.013409290481424696
2023-02-22,-0.004268968214028211,1.0316529487407056,1.050148198487804,-0.01761203778069742
2023-02-23,0.0007630109073353475,1.0324404115763417,1.050148198487804,-0.01686217901145881
2023-02-24,0.0008853649077804091,1.0333549028556324,1.050148198487804,-0.015991357844877263
2023-02-27,0.0012063737448593573,1.0346022673221524,1.050148198487804,-0.01480355933385169
2023-02-28,-0.0009454582798539652,1.0336245563074746,1.050148198487804,-0.015734581275407833
2023-03-02,0.0038728050081040543,1.0376353441522455,1.050148198487804,-0.011915322383618698
2023-03-03,0.003745713488069778,1.041529317157316,1.050148198487804,-0.008207300020034558
2023-03-06,-0.004905568330865808,1.0364325354498647,1.050148198487804,-0.013060692821917574
2023-03-07,-0.018122303533789613,1.0178191584946692,1.050148198487804,-0.03078521682909907
2023-03-08,0.0011740825654810365,1.0190148640146188,1.050148198487804,-0.029646610371771076
2023-03-09,-0.016049187871802748,1.0027910408489258,1.050148198487804,-0.045095690024581137
2023-03-10,-0.012832526916032287,0.9900049124556132,1.050148198487804,-0.057271236687161164
2023-03-13,-0.0009973108542553901,0.989018061990791,1.050148198487804,-0.05821096163859485
2023-03-14,0.007065727126875651,0.9960309401057581,1.050148198487804,-0.051532972641360475
2023-03-15,-0.006866689678402106,0.989214933214067,1.050148198487804,-0.05802349169524834
2023-03-16,0.008212167490785998,0.9973719796032547,1.050148198487804,-0.050255972405176874
2023-03-17,-0.01046003594183489,0.9869938055110968,1.050148198487804,-0.06013855288962877
2023-03-20,0.011457394510842222,0.9983672133135358,1.050148198487804,-0.04930826453716908
2023-03-21,0.011781440671959801,1.0101989781677816,1.050148198487804,-0.038041507263021246
2023-03-22,-0.017917734664861077,0.9922596965035375,1.050148198487804,-0.05512412635438024
