model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
mlp,0.5,10,0.0474,0.1713,0.2768,0.383,0.1906,0.2488,2023-01-01,2025-12-31
mlp,0.5,20,0.0364,0.1713,0.2123,0.2927,0.1402,0.2593,2023-01-01,2025-12-31
mlp,0.5,30,0.0253,0.1714,0.1477,0.203,0.0938,0.2698,2023-01-01,2025-12-31
