model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
mlp,2.0,10,0.0543,0.1888,0.2876,0.3997,0.1915,0.2835,2023-01-01,2025-12-31
mlp,2.0,20,0.0432,0.1888,0.2288,0.317,0.1467,0.2945,2023-01-01,2025-12-31
mlp,2.0,30,0.0321,0.189,0.17,0.2347,0.1052,0.3054,2023-01-01,2025-12-31
