model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
mlp,0.1,10,0.0858,0.1417,0.6053,0.8611,0.5028,0.1706,2023-01-01,2025-12-31
mlp,0.1,20,0.0747,0.1418,0.5267,0.7462,0.4242,0.176,2023-01-01,2025-12-31
mlp,0.1,30,0.0636,0.142,0.4479,0.6319,0.3416,0.1862,2023-01-01,2025-12-31
