model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
mlp,10.0,10,0.0551,0.2029,0.2714,0.3746,0.1707,0.3226,2023-01-01,2025-12-31
mlp,10.0,20,0.0439,0.203,0.2161,0.2975,0.1317,0.3331,2023-01-01,2025-12-31
mlp,10.0,30,0.0327,0.2031,0.1609,0.2208,0.0952,0.3434,2023-01-01,2025-12-31
