model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
mlp,5.0,10,0.0598,0.1992,0.3001,0.4156,0.1956,0.3057,2023-01-01,2025-12-31
mlp,5.0,20,0.0486,0.1993,0.2439,0.3368,0.1536,0.3164,2023-01-01,2025-12-31
mlp,5.0,30,0.0374,0.1994,0.1877,0.2584,0.1145,0.327,2023-01-01,2025-12-31
