year,mean_IC,hit_rate,mean_pearson,mean_r2_rank,n_dates
2023,0.0334,0.5,0.028,0.0,12
2024,-0.0276,0.4167,-0.0225,-0.0011,12
2025,0.0094,0.5455,0.0323,-0.0007,11
all,0.0049,0.4857,0.012,-0.0006,35
