date,portfolio_return
2023-01-03,-0.001128860240303967
2023-01-04,0.005587460607856267
2023-01-05,-0.006766981049063294
2023-01-06,0.022303733458581297
2023-01-09,-0.006272552712702247
2023-01-10,0.0014702721595553267
2023-01-11,0.0009888143310710516
2023-01-12,-0.005367612675078489
2023-01-13,0.00667790502567641
2023-01-16,0.0
2023-01-17,-0.011043923791210634
2023-01-18,-0.015875770499517213
2023-01-19,-0.010415646404040142
2023-01-20,0.005276114304740697
2023-01-23,0.001393502898944771
2023-01-24,0.0055429119319999835
2023-01-25,0.0003279429244516465
2023-01-26,0.004080557708117036
2023-01-27,-0.0069599550756802245
2023-01-30,0.0006660055994258454
2023-01-31,0.01414397934996761
2023-02-02,0.0012784285932117118
2023-02-03,-0.0008499383835197291
2023-02-06,0.005736024834952157
2023-02-07,0.0018261199410319873
2023-02-08,-0.010790832779066978
2023-02-09,-0.010253195818794834
2023-02-10,0.016262521423857722
2023-02-13,0.008998527931078458
2023-02-14,-0.01794838761851058
2023-02-15,0.008904083811952658
2023-02-16,-0.00459926984453322
2023-02-17,0.010539420470536496
2023-02-20,0.0
2023-02-21,-0.00910012412676114
2023-02-22,-0.0036671144858704706
2023-02-23,-0.0007802783323719504
2023-02-24,0.0006590573778202513
2023-02-27,-0.005373982014062478
2023-02-28,-0.0033797358546081855
2023-03-02,0.006764512768216648
2023-03-03,0.006284996428924913
2023-03-06,-0.00397620211912076
2023-03-07,-0.015426297936275295
2023-03-08,0.0035939672156933763
2023-03-09,-0.015746358118188825
2023-03-10,-0.015838926044592864
2023-03-13,0.005992676059124722
2023-03-14,0.006800527267905449
2023-03-15,-0.0011294630242914818
2023-03-16,0.0009868969825732113
2023-03-17,-0.01140354827544252
2023-03-20,0.013469063672904617
2023-03-21,0.0049173039138597704
2023-03-22,-0.018453830485988466
2023-03-23,-0.0033694546379629733
2023-03-24,0.01434284173123996
2023-03-27,0.011271158857221382
2023-03-28,0.0033067040059685015
2023-03-29,0.010674289396708007
2023-03-30,0.0045529604751270965
2023-03-31,0.009752355868681964
2023-04-04,0.00823538654976022
2023-04-05,0.006356457219979814
2023-04-06,0.0019547431956792234
2023-04-07,0.0
2023-04-10,0.009335831106800101
2023-04-11,0.0027396380977491907
2023-04-12,-0.0030818651595985545
2023-04-13,0.0033753284472767928
2023-04-14,-0.004069385525665049
2023-04-17,0.009894647669129791
2023-04-18,-0.0009516345979702398
2023-04-19,-0.0008843862987427239
2023-04-20,-0.0011067156278630386
2023-04-21,0.004592587027227257
2023-04-24,-0.0014546275079978228
2023-04-25,-0.005815040394926899
2023-04-26,-0.013849060019235892
2023-04-27,0.012513783552087439
2023-04-28,0.005271396725087029
2023-05-02,-0.010150213108016152
2023-05-03,-0.0005255362912202614
2023-05-04,-0.006836375283177438
2023-05-05,0.011507687518535701
2023-05-08,0.0011605503781311715
2023-05-09,-0.0043703064809671585
2023-05-10,0.003624415206793922
2023-05-11,0.0006581889891528964
2023-05-12,0.0006327485664472165
2023-05-15,0.00047961896125909545
2023-05-16,-0.00554647862278028
2023-05-17,-0.011310726871229502
2023-05-18,0.011887616972493116
2023-05-19,-0.007013294196579897
2023-05-22,-0.006108502691326553
2023-05-23,-0.00018805294989596754
2023-05-24,-0.007511119334594381
2023-05-25,-0.0037821243314501768
2023-05-26,0.0012884936152290861
2023-05-29,0.0
2023-05-30,0.00227474211636857
2023-05-31,-0.003995322600969647
2023-06-02,0.025254426266354685
2023-06-05,-0.0026409051169066547
2023-06-06,0.005314114597308494
2023-06-07,0.011704524706917381
2023-06-08,-0.0006867649683655101
2023-06-09,-0.0021272869563773865
2023-06-12,0.004137589192452556
2023-06-13,0.0064999119787904425
2023-06-14,-0.0015833476528390208
2023-06-15,0.013063615426308075
2023-06-16,0.005523254365860682
2023-06-19,-1.1102230246251565e-16
2023-06-20,-0.008925493993500849
2023-06-21,0.007038207737616851
2023-06-22,-0.004172564560017593
2023-06-23,-0.008820476524732774
2023-06-26,0.008296091551017189
2023-06-27,0.0036854399822860732
2023-06-28,-0.007120869977469691
2023-06-29,0.009704264882396934
2023-06-30,0.006593918410744267
2023-07-04,0.0
2023-07-05,-0.0003040642274174206
2023-07-06,-0.0031790553658611457
2023-07-07,-0.004236536514303869
2023-07-10,0.0005610307853373698
2023-07-11,0.007793529525022426
2023-07-12,-0.0009508789485855292
2023-07-13,0.0025338681939078237
2023-07-14,0.0022732769692784226
2023-07-17,-0.0023265505967869147
2023-07-18,0.008505992031464678
2023-07-19,0.006157114641756232
2023-07-20,0.008124574187485916
2023-07-21,0.0025872697797600904
2023-07-24,0.0015668244200461622
2023-07-25,0.0027183082141440914
2023-07-26,0.005717453836932632
2023-07-27,-0.005091157978591657
2023-07-28,0.0074224009551766956
2023-07-31,-0.00343583684361304
2023-08-02,0.0024091469401577295
2023-08-03,-0.003427428489886357
2023-08-04,-0.006915928916948982
2023-08-07,0.008791385242683325
2023-08-08,-0.011144893725757632
2023-08-09,0.010343669833620835
2023-08-10,0.007305131525939989
2023-08-11,-0.0011326224316615652
2023-08-14,0.004531232638470365
2023-08-15,-0.011835876961841242
2023-08-16,-0.002121117326589871
2023-08-17,-0.024909153348181598
2023-08-18,0.006996681792568424
2023-08-21,0.00045565326723709485
2023-08-22,-0.005683169835736714
2023-08-23,0.007581718160541854
2023-08-24,-0.012124126165280842
2023-08-25,0.0042232156093167
2023-08-28,0.010696300242458696
2023-08-29,0.004771573483086279
2023-08-30,-0.0049483787464704426
2023-08-31,-0.022745123386991133
2023-09-04,0.0
2023-09-05,-0.008340656516497081
2023-09-06,-0.004939866385422144
2023-09-07,0.011692912515610023
2023-09-08,0.00029701821043169374
2023-09-11,0.0023402518172398194
2023-09-12,-0.0021514455280629515
2023-09-13,-0.0028716258062858836
2023-09-14,0.007539130237411452
2023-09-15,-0.005460927214448296
2023-09-18,0.00435646271095412
2023-09-19,-0.0027334907876769505
2023-09-20,0.004708090887259951
2023-09-21,-0.009637506463467498
2023-09-22,-4.898418841711939e-06
2023-09-25,-0.0010271811528295685
2023-09-26,-0.004917047969807771
2023-09-27,-0.0052513091069132465
2023-09-28,0.0019972574101787986
2023-09-29,-0.004961689715671473
2023-10-03,-0.006110988176063201
2023-10-04,0.011579141907820304
2023-10-05,-0.00013053379211052727
2023-10-06,0.005026460629924117
2023-10-09,0.0019945634981789065
2023-10-10,0.013518032610443171
2023-10-11,0.0032182082576397352
2023-10-12,-0.014687634352004854
2023-10-13,0.013415083033194391
2023-10-16,0.009041227271608969
2023-10-17,0.0022804179546439102
2023-10-18,-0.012464290710619205
2023-10-19,-0.008542991167084648
2023-10-20,-0.009639368952159557
2023-10-23,-0.0031792497419694957
2023-10-24,0.004913974225986419
2023-10-25,-0.005134921777949049
2023-10-26,0.006863402620994494
2023-10-27,-0.012456482108743772
2023-10-30,0.010349473491922273
2023-10-31,0.008712736785025755
2023-11-02,0.01653309232108648
2023-11-03,0.006713680321613931
2023-11-06,-0.001650818334292783
