date,model,variable,RGR,n_assets,perturbation_percentage
2023-10-02,ridge,log_mktcap,0.80125,407,0.05
2023-11-01,ridge,ret_1w,0.999859,407,0.05
2023-11-01,ridge,vol_3m,0.993411,407,0.05
2023-11-01,ridge,ret_3m,0.992512,407,0.05
2023-11-01,ridge,vol_ratio,0.98647,407,0.05
2023-11-01,ridge,vol_1m,0.981041,407,0.05
2023-11-01,ridge,amihud,0.979314,407,0.05
2023-11-01,ridge,ret_1m,0.973623,407,0.05
2023-11-01,ridge,ret_6m,0.959846,407,0.05
2023-11-01,ridge,ret_12m,0.922032,407,0.05
2023-11-01,ridge,log_mktcap,0.802141,407,0.05
2023-12-01,ridge,ret_1w,0.999928,407,0.05
2023-12-01,ridge,vol_3m,0.993427,407,0.05
2023-12-01,ridge,amihud,0.984558,407,0.05
2023-12-01,ridge,vol_ratio,0.983255,407,0.05
2023-12-01,ridge,ret_3m,0.980661,407,0.05
2023-12-01,ridge,vol_1m,0.977005,407,0.05
2023-12-01,ridge,ret_1m,0.959927,407,0.05
2023-12-01,ridge,ret_6m,0.955032,407,0.05
2023-12-01,ridge,ret_12m,0.909284,407,0.05
2023-12-01,ridge,log_mktcap,0.794075,407,0.05
2024-01-01,ridge,ret_1w,0.999886,407,0.05
2024-01-01,ridge,vol_3m,0.997473,407,0.05
2024-01-01,ridge,vol_ratio,0.986121,407,0.05
2024-01-01,ridge,amihud,0.983271,407,0.05
2024-01-01,ridge,ret_1m,0.983032,407,0.05
2024-01-01,ridge,vol_1m,0.979185,407,0.05
2024-01-01,ridge,ret_3m,0.966444,407,0.05
2024-01-01,ridge,ret_6m,0.938987,407,0.05
2024-01-01,ridge,ret_12m,0.914695,407,0.05
2024-01-01,ridge,log_mktcap,0.797432,407,0.05
2024-02-01,ridge,ret_1w,0.999996,407,0.05
2024-02-01,ridge,vol_3m,0.996203,407,0.05
2024-02-01,ridge,vol_ratio,0.985896,407,0.05
2024-02-01,ridge,vol_1m,0.982699,407,0.05
2024-02-01,ridge,amihud,0.981397,407,0.05
2024-02-01,ridge,ret_1m,0.974755,407,0.05
2024-02-01,ridge,ret_3m,0.968166,407,0.05
2024-02-01,ridge,ret_6m,0.962635,407,0.05
2024-02-01,ridge,ret_12m,0.924391,407,0.05
2024-02-01,ridge,log_mktcap,0.777525,407,0.05
2024-03-01,ridge,ret_1w,0.99983,407,0.05
2024-03-01,ridge,vol_3m,0.994288,407,0.05
2024-03-01,ridge,vol_ratio,0.985529,407,0.05
2024-03-01,ridge,vol_1m,0.979188,407,0.05
2024-03-01,ridge,ret_1m,0.975151,407,0.05
2024-03-01,ridge,amihud,0.972835,407,0.05
2024-03-01,ridge,ret_3m,0.965008,407,0.05
2024-03-01,ridge,ret_6m,0.957976,407,0.05
2024-03-01,ridge,ret_12m,0.935839,407,0.05
