date,model,variable,RGE,n_assets
2024-02-01,ridge,ret_6m,0.053824,407
2024-02-01,ridge,amihud,0.039754,407
2024-02-01,ridge,ret_3m,0.029509,407
2024-02-01,ridge,ret_1m,0.022619,407
2024-02-01,ridge,vol_1m,0.016126,407
2024-02-01,ridge,vol_ratio,0.012967,407
2024-02-01,ridge,vol_3m,0.004023,407
2024-02-01,ridge,ret_1w,4e-06,407
2024-03-01,ridge,log_mktcap,0.479355,407
2024-03-01,ridge,ret_6m,0.0648,407
2024-03-01,ridge,ret_12m,0.06395,407
2024-03-01,ridge,amihud,0.046058,407
2024-03-01,ridge,ret_3m,0.031183,407
2024-03-01,ridge,ret_1m,0.023261,407
2024-03-01,ridge,vol_1m,0.021787,407
2024-03-01,ridge,vol_ratio,0.015084,407
2024-03-01,ridge,vol_3m,0.005473,407
2024-03-01,ridge,ret_1w,0.000151,407
2024-04-01,ridge,log_mktcap,0.489634,407
2024-04-01,ridge,ret_6m,0.073714,407
2024-04-01,ridge,ret_12m,0.073488,407
2024-04-01,ridge,amihud,0.035149,407
2024-04-01,ridge,ret_3m,0.032242,407
2024-04-01,ridge,ret_1m,0.028593,407
2024-04-01,ridge,vol_1m,0.023786,407
2024-04-01,ridge,vol_ratio,0.018501,407
2024-04-01,ridge,vol_3m,0.005883,407
2024-04-01,ridge,ret_1w,5e-06,407
2024-05-01,ridge,log_mktcap,0.456131,407
2024-05-01,ridge,ret_6m,0.072016,407
2024-05-01,ridge,ret_12m,0.068734,407
2024-05-01,ridge,amihud,0.03596,407
2024-05-01,ridge,ret_3m,0.031263,407
2024-05-01,ridge,vol_1m,0.021751,407
2024-05-01,ridge,ret_1m,0.018081,407
2024-05-01,ridge,vol_ratio,0.015289,407
2024-05-01,ridge,vol_3m,0.006988,407
2024-05-01,ridge,ret_1w,9e-06,407
2024-06-03,ridge,log_mktcap,0.469777,407
2024-06-03,ridge,ret_12m,0.070804,407
2024-06-03,ridge,ret_6m,0.058058,407
2024-06-03,ridge,amihud,0.041772,407
2024-06-03,ridge,vol_1m,0.040316,407
2024-06-03,ridge,ret_3m,0.032127,407
2024-06-03,ridge,vol_ratio,0.023956,407
2024-06-03,ridge,ret_1m,0.021329,407
2024-06-03,ridge,vol_3m,0.012949,407
2024-06-03,ridge,ret_1w,0.000512,407
2024-07-01,ridge,log_mktcap,0.501503,407
2024-07-01,ridge,ret_6m,0.060438,407
2024-07-01,ridge,ret_12m,0.056443,407
2024-07-01,ridge,vol_1m,0.039986,407
2024-07-01,ridge,amihud,0.037156,407
2024-07-01,ridge,ret_3m,0.036227,407
2024-07-01,ridge,vol_ratio,0.022909,407
2024-07-01,ridge,ret_1m,0.016932,407
2024-07-01,ridge,vol_3m,0.012531,407
2024-07-01,ridge,ret_1w,1.7e-05,407
2024-08-01,ridge,log_mktcap,0.415206,407
2024-08-01,ridge,ret_6m,0.063696,407
2024-08-01,ridge,ret_12m,0.051304,407
2024-08-01,ridge,amihud,0.035673,407
2024-08-01,ridge,ret_3m,0.034277,407
2024-08-01,ridge,vol_1m,0.033352,407
2024-08-01,ridge,vol_ratio,0.024065,407
2024-08-01,ridge,ret_1m,0.0208,407
2024-08-01,ridge,vol_3m,0.015428,407
2024-08-01,ridge,ret_1w,2.4e-05,407
2024-09-02,ridge,log_mktcap,0.415255,407
2024-09-02,ridge,ret_6m,0.059867,407
2024-09-02,ridge,ret_12m,0.042698,407
2024-09-02,ridge,amihud,0.038581,407
2024-09-02,ridge,ret_3m,0.031971,407
2024-09-02,ridge,vol_1m,0.031773,407
2024-09-02,ridge,ret_1m,0.026283,407
2024-09-02,ridge,vol_ratio,0.020221,407
2024-09-02,ridge,vol_3m,0.014097,407
2024-09-02,ridge,ret_1w,1.6e-05,407
2024-10-01,ridge,log_mktcap,0.443001,407
2024-10-01,ridge,ret_6m,0.07057,407
2024-10-01,ridge,ret_12m,0.043352,407
2024-10-01,ridge,amihud,0.041981,407
2024-10-01,ridge,vol_1m,0.041685,407
2024-10-01,ridge,ret_3m,0.036132,407
2024-10-01,ridge,ret_1m,0.029301,407
2024-10-01,ridge,vol_ratio,0.023071,407
2024-10-01,ridge,vol_3m,0.013426,407
2024-10-01,ridge,ret_1w,0.000398,407
2024-11-01,ridge,log_mktcap,0.423039,407
2024-11-01,ridge,ret_6m,0.055111,407
2024-11-01,ridge,ret_3m,0.038771,407
2024-11-01,ridge,vol_1m,0.036909,407
2024-11-01,ridge,ret_12m,0.030806,407
2024-11-01,ridge,amihud,0.02916,407
2024-11-01,ridge,vol_ratio,0.024571,407
2024-11-01,ridge,ret_1m,0.021593,407
2024-11-01,ridge,vol_3m,0.01073,407
2024-11-01,ridge,ret_1w,0.000659,407
2024-12-02,ridge,log_mktcap,0.476494,407
2024-12-02,ridge,ret_6m,0.058093,407
2024-12-02,ridge,ret_3m,0.032246,407
2024-12-02,ridge,ret_12m,0.028581,407
2024-12-02,ridge,vol_1m,0.027627,407
2024-12-02,ridge,amihud,0.025062,407
2024-12-02,ridge,vol_ratio,0.023914,407
2024-12-02,ridge,ret_1m,0.020222,407
2024-12-02,ridge,vol_3m,0.005909,407
2024-12-02,ridge,ret_1w,0.000672,407
2025-01-01,ridge,log_mktcap,0.55941,407
2025-01-01,ridge,ret_6m,0.072974,407
2025-01-01,ridge,ret_3m,0.030133,407
2025-01-01,ridge,vol_1m,0.029508,407
2025-01-01,ridge,ret_12m,0.029304,407
2025-01-01,ridge,vol_ratio,0.022391,407
2025-01-01,ridge,ret_1m,0.020005,407
2025-01-01,ridge,amihud,0.018628,407
2025-01-01,ridge,vol_3m,0.006035,407
2025-01-01,ridge,ret_1w,0.000518,407
2025-02-03,ridge,log_mktcap,0.457097,407
2025-02-03,ridge,ret_6m,0.073009,407
2025-02-03,ridge,vol_1m,0.035078,407
2025-02-03,ridge,ret_3m,0.030802,407
2025-02-03,ridge,vol_ratio,0.029826,407
2025-02-03,ridge,ret_12m,0.028421,407
2025-02-03,ridge,amihud,0.025628,407
