Lambda,Baseline,Ridge,MLP,XGBoost
0.1,0.4080*,0.7458,0.9403,0.7533
0.2,0.4269*,0.7800,0.9438,0.7722
0.5,0.4579*,0.7961,0.9352,0.7777
1.0,0.4646*,0.7986,0.9315,0.7815
2.0,0.4475*,0.7975,0.9385,0.7856
5.0,0.4309*,0.7927,0.9466,0.7668
10.0,0.4268*,0.7793,0.9482,0.7604
