Lambda,Baseline,Ridge,MLP,XGBoost
0.1,1.2767*,0.5152,0.6837,1.1544
0.2,1.2042*,0.4731,0.6372,1.1233
0.5,1.0214*,0.3847,0.3413,0.9854
1.0,0.8243,0.6151,0.3021,0.9007*
2.0,0.8225,0.7482,0.3464,0.8549*
5.0,0.9394*,0.7275,0.3563,0.8368
10.0,0.9512*,0.6641,0.3266,0.8142
