rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.525712,10,10
2023-03-01,0.487409,10,10
2023-04-03,0.374385,10,10
2023-05-01,0.417957,10,10
2023-06-01,0.445378,10,10
2023-07-03,0.338118,10,10
2023-08-01,0.540049,10,10
2023-09-01,0.299491,10,10
2023-10-02,0.419961,10,10
2023-11-01,0.513185,10,10
2023-12-01,0.479857,10,10
2024-01-01,0.456647,10,10
2024-02-01,0.365652,10,10
2024-03-01,0.400231,10,10
2024-04-01,0.41316,10,10
2024-05-01,0.568629,10,10
2024-06-03,0.30108,10,10
2024-07-01,0.439626,10,10
2024-08-01,0.576949,10,10
2024-09-02,0.352149,10,10
2024-10-01,0.394624,10,10
2024-11-01,0.69645,10,10
2024-12-02,0.516676,10,10
2025-01-01,0.376707,10,10
2025-02-03,0.579147,10,10
2025-03-03,0.49715,10,10
2025-04-01,0.611938,10,10
2025-05-01,0.472802,10,10
2025-06-02,0.340071,10,10
2025-07-01,0.37244,10,10
2025-08-01,0.414117,10,10
2025-09-01,0.265007,10,10
2025-10-01,0.773128,10,10
2025-11-03,0.516804,10,10
2025-12-01,0.484727,10,10
