date,portfolio_return
2023-01-03,-0.0012053391332483882
2023-01-04,0.014005963965996623
2023-01-05,-0.010925909141004693
2023-01-06,0.024341016096620555
2023-01-09,-8.36130994515766e-05
2023-01-10,0.0077703848792540315
2023-01-11,0.01171203780197362
2023-01-12,0.003494812995634376
2023-01-13,0.0028707677964683095
2023-01-16,0.0
2023-01-17,-0.0022693542911926216
2023-01-18,-0.01454417173828883
2023-01-19,-0.01065490466134186
2023-01-20,0.017312012408048316
2023-01-23,0.01159507152439045
2023-01-24,-0.0013895289128374425
2023-01-25,0.001243517671060831
2023-01-26,0.009129980729873305
2023-01-27,0.0009014788038615015
2023-01-30,-0.009964427433574794
2023-01-31,0.01661023961252619
2023-02-02,0.00923008438435365
2023-02-03,-0.010146642615117381
2023-02-06,-0.00696309714816476
2023-02-07,0.008830523012569405
2023-02-08,-0.008858432934648185
2023-02-09,-0.008437648312675997
2023-02-10,0.004128557193894185
2023-02-13,0.01072467869348819
2023-02-14,-0.001825720622824498
2023-02-15,0.004489627971935425
2023-02-16,-0.009958166120335826
2023-02-17,-0.0018037054149330559
2023-02-20,-1.1102230246251565e-16
2023-02-21,-0.02041786637284028
2023-02-22,-0.002001158014569462
2023-02-23,0.004126540491626124
2023-02-24,-0.007876350337698105
2023-02-27,0.0014112138096789128
2023-02-28,-0.002344181364432297
2023-03-02,0.007869094923240241
2023-03-03,0.013205028409606981
2023-03-06,-0.0036107592544093944
2023-03-07,-0.01602326977998259
2023-03-08,0.0024081197357707054
2023-03-09,-0.01935188874617525
2023-03-10,-0.02017307442587019
2023-03-13,-0.007123502219895194
2023-03-14,0.014356588504104381
2023-03-15,-0.014542432145733884
2023-03-16,0.013917070775342908
2023-03-17,-0.016413683187880588
2023-03-20,0.013230612506992347
2023-03-21,0.011974572876939534
2023-03-22,-0.021254637315931055
2023-03-23,-0.002374689076682584
2023-03-24,0.007401885441164784
2023-03-27,0.005963457619690849
2023-03-28,0.0020280151890007137
2023-03-29,0.014535090083378705
2023-03-30,0.004794202968538708
2023-03-31,0.014627530035200655
2023-04-04,-0.010340040702141704
2023-04-05,-0.002329097550350994
2023-04-06,0.0002507411659359364
2023-04-07,-1.1102230246251565e-16
2023-04-10,0.006207257806073576
2023-04-11,0.006075586573661848
2023-04-12,-0.00413229860638594
2023-04-13,0.007883310755199671
2023-04-14,-0.003699875802640012
2023-04-17,0.006721171046276782
2023-04-18,0.0014245605904832646
2023-04-19,-0.00034899151583410145
2023-04-20,-0.004696114518921034
2023-04-21,-0.0003123456335154368
2023-04-24,0.002576611124354594
2023-04-25,-0.016678304280030306
2023-04-26,-0.0092209443191567
2023-04-27,0.016973748268648097
2023-04-28,0.010626458192326684
2023-05-02,-0.0140169506079281
2023-05-03,-0.005967209389506365
2023-05-04,-0.00818622402271088
2023-05-05,0.01668057361067831
2023-05-08,-0.0020563778382112967
2023-05-09,-0.0032893024034795692
2023-05-10,0.00025496558727631293
2023-05-11,-0.004196358047896641
2023-05-12,0.00025435606627926074
2023-05-15,0.005488121130422042
2023-05-16,-0.013380674803625058
2023-05-17,0.012317443960868634
2023-05-18,0.008192272296105247
2023-05-19,-0.0030836970498552465
2023-05-22,0.001498887033203926
2023-05-23,-0.011676319022134802
2023-05-24,-0.011316452206196724
2023-05-25,0.001255463476323899
2023-05-26,0.008633702769328934
2023-05-29,-2.2204460492503136e-16
2023-05-30,-0.0019366668145531247
2023-05-31,-0.008063403946868119
2023-06-02,0.022122018459085985
2023-06-05,-0.004542506551734083
2023-06-06,0.006357731055557268
2023-06-07,0.007643548793811258
2023-06-08,0.0006991854768553658
2023-06-09,-0.000967630967174374
2023-06-12,0.006437464063983564
2023-06-13,0.009766634443107512
2023-06-14,-0.001695338241707432
2023-06-15,0.011887786691900373
2023-06-16,-0.0009759308969449624
2023-06-19,0.0
2023-06-20,-0.008150051494503797
2023-06-21,-0.0003813497982791409
2023-06-22,-0.003939473443543864
2023-06-23,-0.007985564063191073
2023-06-26,0.005532832326109591
2023-06-27,0.012421311416758136
2023-06-28,-0.0017825343248237474
2023-06-29,0.007992478926726563
2023-06-30,0.009300091348185992
2023-07-04,-3.33066907387547e-16
2023-07-05,-0.00474463125699292
2023-07-06,-0.008414806262568306
2023-07-07,0.0015104027763909002
2023-07-10,0.008882692175364687
2023-07-11,0.010378559611992197
2023-07-12,0.004136981445004464
2023-07-13,0.0051157433927569275
2023-07-14,-0.0050532755134177505
2023-07-17,0.0021203719386942987
2023-07-18,0.006120439829081865
2023-07-19,0.004544181035732224
2023-07-20,-0.0005056845525677071
2023-07-21,0.0016950021065777656
2023-07-24,0.0029359014932047608
2023-07-25,0.001876895664195459
2023-07-26,0.001297742333081968
2023-07-27,-0.007855621324642152
2023-07-28,0.005334057926768975
2023-07-31,0.0024390579623096266
2023-08-02,-0.007917779912497223
2023-08-03,-0.002682794396677597
2023-08-04,-0.004681382151443734
2023-08-07,0.009209327179466443
2023-08-08,-0.005541759020228375
2023-08-09,-0.00196659658357896
2023-08-10,-0.0007896816722798238
2023-08-11,0.0006035434665073659
2023-08-14,0.000457210971757836
2023-08-15,-0.012541209331351125
2023-08-16,-0.006865307741045934
2023-08-17,-0.008011288826112501
2023-08-18,0.0014415967405045952
2023-08-21,-0.0001505892074481648
2023-08-22,-0.003019690010240471
2023-08-23,0.00859081721499956
2023-08-24,-0.009410515163010691
2023-08-25,0.005723272973978968
2023-08-28,0.007115992388339591
2023-08-29,0.011271817829664051
2023-08-30,0.0027564700766412745
2023-08-31,-0.002997280235193019
2023-09-04,-3.33066907387547e-16
2023-09-05,-0.011673496735910806
2023-09-06,-0.0029299941150986667
2023-09-07,-0.0030812450921355004
2023-09-08,0.00011226799217304476
2023-09-11,0.0022353313512827318
2023-09-12,-0.0019506159882028032
2023-09-13,-0.002954857649479665
2023-09-14,0.010615115989126397
2023-09-15,-0.00891695766778945
2023-09-18,-0.0005326546795306878
2023-09-19,-0.0020900961466376843
2023-09-20,-0.0033696001781989868
2023-09-21,-0.017620713065535934
2023-09-22,-0.002856873290395523
