date,portfolio_return
2023-01-03,-0.020193919130482938
2023-01-04,0.005500996297504365
2023-01-05,0.00823525689232988
2023-01-06,0.03478088399099691
2023-01-09,-0.008424488730563217
2023-01-10,0.024559047076539487
2023-01-11,0.0021400565130963614
2023-01-12,0.012908500579715472
2023-01-13,0.0011211255556273624
2023-01-16,0.0
2023-01-17,-0.006072089206718637
2023-01-18,-0.008937599822406396
2023-01-19,-0.0142600221047226
2023-01-20,0.010904724520473365
2023-01-23,0.006947524098783117
2023-01-24,-0.00138599363333257
2023-01-25,-0.0003610132141680764
2023-01-26,0.033185954443186505
2023-01-27,-0.00888644929284439
2023-01-30,-0.013159976626601698
2023-01-31,0.013042507820645963
2023-02-02,-0.021242529475702113
2023-02-03,0.011165843711429223
2023-02-06,-0.003476791339073737
2023-02-07,0.01579752468964544
2023-02-08,-0.001563116339026344
2023-02-09,-0.006695571670897607
2023-02-10,0.01535003444229932
2023-02-13,0.0064654746061903155
2023-02-14,-0.0022254598682706988
2023-02-15,0.0012280636460856873
2023-02-16,-0.007887078718298711
2023-02-17,-0.00198465177573203
2023-02-20,0.0
2023-02-21,-0.01114159716474881
2023-02-22,-0.004200959696241678
2023-02-23,0.019064467332963787
2023-02-24,-0.00562886454131546
2023-02-27,0.006706906777441129
2023-02-28,-0.015816338611412628
2023-03-02,0.0018588153408267071
2023-03-03,0.01384522372582558
2023-03-06,-0.0032007826638845273
2023-03-07,-0.01043134731311631
2023-03-08,-0.0068129698118752835
2023-03-09,-0.016264730675715575
2023-03-10,-0.012451960218659424
2023-03-13,-0.02077655066373032
2023-03-14,0.022486992810292657
2023-03-15,-0.03143935860836422
2023-03-16,0.02241989039227276
2023-03-17,-0.023422848597812178
2023-03-20,0.024697714600484887
2023-03-21,0.01773731962480154
2023-03-22,-0.01759467000207425
2023-03-23,-0.004857151058029725
2023-03-24,0.005634417289436201
2023-03-27,0.016284539924395547
2023-03-28,0.010076744554465214
2023-03-29,0.013562697231641867
2023-03-30,0.0026404919300846543
2023-03-31,0.009471561055213396
2023-04-04,-0.00660738622029579
2023-04-05,-0.003598076806781582
2023-04-06,-0.005395728520763541
2023-04-07,0.0
2023-04-10,0.015077706687311456
2023-04-11,-0.0017655466767193492
