rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.343115,10,10
2023-03-01,0.280633,10,10
2023-04-03,0.38705,10,10
2023-05-01,0.617266,10,10
2023-06-01,0.376029,10,10
2023-07-03,0.368536,10,10
2023-08-01,0.573351,10,10
2023-09-01,0.242687,10,10
2023-10-02,0.342039,10,10
2023-11-01,0.474827,10,10
2023-12-01,0.361718,10,10
2024-01-01,0.449603,10,10
2024-02-01,0.341303,10,10
2024-03-01,0.451437,10,10
2024-04-01,0.385909,10,10
2024-05-01,0.391429,10,10
2024-06-03,0.296726,10,10
2024-07-01,0.419091,10,10
2024-08-01,0.67207,10,10
2024-09-02,0.322059,10,10
2024-10-01,0.413542,10,10
2024-11-01,0.598261,10,10
2024-12-02,0.426793,10,10
2025-01-01,0.29908,10,10
2025-02-03,0.492667,10,10
2025-03-03,0.492285,10,10
2025-04-01,0.422565,10,10
2025-05-01,0.393316,10,10
2025-06-02,0.321864,10,10
2025-07-01,0.365202,10,10
2025-08-01,0.492409,10,10
2025-09-01,0.360005,10,10
2025-10-01,0.715116,10,10
2025-11-03,0.577544,10,10
2025-12-01,0.473079,10,10
