model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
baseline_markowitz,10.0,10,0.2521,0.2703,0.9324,1.3027,0.9358,0.2694,2023-01-01,2025-12-31
baseline_markowitz,10.0,20,0.247,0.2704,0.9136,1.2751,0.9125,0.2707,2023-01-01,2025-12-31
baseline_markowitz,10.0,30,0.242,0.2705,0.8947,1.2475,0.8895,0.2721,2023-01-01,2025-12-31
