model,lambda,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_turnover
ridge,0.1,0.0833,0.1617,0.5152,0.7129,0.5719,0.1457,0.7458
ridge,0.2,0.0827,0.1749,0.4731,0.674,0.4268,0.1938,0.78
ridge,0.5,0.0777,0.2019,0.3847,0.538,0.3522,0.2206,0.7961
ridge,1.0,0.1339,0.2176,0.6151,0.8759,0.5927,0.2258,0.7986
ridge,2.0,0.1717,0.2294,0.7482,1.0848,0.7943,0.2161,0.7975
ridge,5.0,0.1728,0.2375,0.7275,1.0567,0.8022,0.2154,0.7927
ridge,10.0,0.1603,0.2414,0.6641,0.9618,0.7458,0.2149,0.7793
