model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
ridge,0.5,10,0.0683,0.202,0.338,0.4718,0.3076,0.222,2023-01-01,2025-12-31
ridge,0.5,20,0.0589,0.2021,0.2914,0.4058,0.2636,0.2233,2023-01-01,2025-12-31
ridge,0.5,30,0.0495,0.2022,0.2447,0.3401,0.2202,0.2247,2023-01-01,2025-12-31
