model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
ridge,10.0,10,0.1511,0.2415,0.6258,0.9043,0.7009,0.2156,2023-01-01,2025-12-31
ridge,10.0,20,0.1419,0.2416,0.5874,0.847,0.6563,0.2162,2023-01-01,2025-12-31
ridge,10.0,30,0.1327,0.2417,0.5491,0.7899,0.6119,0.2169,2023-01-01,2025-12-31
