rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.785942,10,10
2023-03-01,0.633044,10,10
2023-04-03,0.739542,10,10
2023-05-01,0.795865,10,10
2023-06-01,0.99,10,10
2023-07-03,0.581334,10,10
2023-08-01,0.912086,10,10
2023-09-01,0.736254,10,10
2023-10-02,0.858686,10,10
2023-11-01,0.7811,10,10
2023-12-01,0.797996,10,10
2024-01-01,0.787616,10,10
2024-02-01,0.893238,10,10
2024-03-01,0.850239,10,10
2024-04-01,0.890972,10,10
2024-05-01,0.643433,10,10
2024-06-03,0.855621,10,10
2024-07-01,0.815271,10,10
2024-08-01,0.854777,10,10
2024-09-02,0.261257,10,10
2024-10-01,0.99,10,10
2024-11-01,0.881729,10,10
2024-12-02,0.697862,10,10
2025-01-01,0.981063,10,10
2025-02-03,0.764218,10,10
2025-03-03,0.712226,10,10
2025-04-01,0.811241,10,10
2025-05-01,0.664796,10,10
2025-06-02,0.573684,10,10
2025-07-01,0.90423,10,10
2025-08-01,0.772173,10,10
2025-09-01,0.69671,10,10
2025-10-01,0.800465,10,10
2025-11-03,0.759306,10,10
2025-12-01,0.801229,10,10
