model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
ridge,0.1,10,0.0745,0.1618,0.4606,0.6362,0.5067,0.1471,2023-01-01,2025-12-31
ridge,0.1,20,0.0657,0.1619,0.4059,0.5596,0.4427,0.1484,2023-01-01,2025-12-31
ridge,0.1,30,0.0569,0.162,0.3513,0.4832,0.3798,0.1498,2023-01-01,2025-12-31
