model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
ridge,0.2,10,0.0735,0.1749,0.4203,0.5975,0.3765,0.1952,2023-01-01,2025-12-31
ridge,0.2,20,0.0643,0.175,0.3675,0.5212,0.327,0.1966,2023-01-01,2025-12-31
ridge,0.2,30,0.0551,0.1751,0.3146,0.4453,0.2782,0.198,2023-01-01,2025-12-31
