date,alpha,val_r2,model_path,scaler_path,bundle_path
2024-05-01,100.0,-0.001577,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-05-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-05-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-05-01.pkl
2024-06-03,100.0,-0.008475,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-06-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-06-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-06-03.pkl
2024-07-01,100.0,-0.011054,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-07-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-07-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-07-01.pkl
2024-08-01,100.0,-0.007031,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-08-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-08-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-08-01.pkl
2024-09-02,100.0,-0.00673,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-09-02.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-09-02.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-09-02.pkl
2024-10-01,100.0,-0.008598,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-10-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-10-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-10-01.pkl
2024-11-01,100.0,-0.0096,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-11-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-11-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-11-01.pkl
2024-12-02,100.0,-0.012838,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2024-12-02.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2024-12-02.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2024-12-02.pkl
2025-01-01,100.0,-0.007944,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-01-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-01-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-01-01.pkl
2025-02-03,100.0,-0.011702,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-02-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-02-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-02-03.pkl
