model_family,configuration_id,configuration_parameters,compliance_score_arithmetic,compliance_score_geometric,compliance_score_rms,accuracy_score,robustness_score,fairness_score,explainability_score,sharpe,max_drawdown,avg_turnover,ann_return,ann_vol,sortino,calmar
xgboost,xgboost_27,"md=4,lr=0.1,ne=150,ss=0.8,cb=0.6,ra=0.01,rl=0.1",0.59963,0.500343,0.633841,0.446929,0.512769,0.79445,0.644372,1.117975,0.195691,0.829839,0.234041,0.209343,1.704024,1.195969
xgboost,xgboost_28,"md=3,lr=0.1,ne=200,ss=0.8,cb=0.8,ra=1.0,rl=0.1",0.597278,0.496096,0.633805,0.446816,0.496396,0.80756,0.638338,1.380556,0.276382,0.835088,0.32098,0.232501,1.86138,1.161365
xgboost,xgboost_29,"md=4,lr=0.005,ne=150,ss=1.0,cb=0.8,ra=1.0,rl=1.0",0.578233,0.472982,0.620689,0.447321,0.452232,0.810578,0.602802,0.999404,0.229949,0.648225,0.258483,0.258637,1.435545,1.124086
xgboost,xgboost_30,"md=6,lr=0.03,ne=100,ss=1.0,cb=1.0,ra=0.01,rl=10.0",0.570888,0.472956,0.607417,0.441661,0.476583,0.796726,0.56858,0.976953,0.21542,0.811174,0.218592,0.223749,1.427139,1.014722
xgboost,xgboost_31,"md=3,lr=0.1,ne=300,ss=0.8,cb=1.0,ra=0.01,rl=0.1",0.606372,0.504826,0.642283,0.451853,0.506325,0.815363,0.651947,1.242476,0.21916,0.828836,0.290152,0.233527,1.652979,1.323926
xgboost,xgboost_32,"md=2,lr=0.03,ne=500,ss=0.6,cb=0.8,ra=0.1,rl=0.1",0.578304,0.472837,0.620642,0.441839,0.433956,0.803058,0.634363,1.508194,0.201595,0.673687,0.33198,0.220118,2.284874,1.646768
xgboost,xgboost_33,"md=6,lr=0.01,ne=300,ss=0.8,cb=0.8,ra=0.0,rl=1.0",0.574257,0.47404,0.612655,0.4434,0.468576,0.804849,0.580203,1.17707,0.217214,0.730403,0.279836,0.237739,1.663509,1.288293
xgboost,xgboost_34,"md=8,lr=0.005,ne=300,ss=0.8,cb=1.0,ra=0.1,rl=1.0",0.570669,0.471007,0.609382,0.444875,0.481176,0.820299,0.536327,1.163633,0.249449,0.804739,0.258246,0.221931,1.769633,1.035266
xgboost,xgboost_35,"md=3,lr=0.05,ne=50,ss=0.8,cb=0.6,ra=0.1,rl=5.0",0.584696,0.477906,0.627593,0.447855,0.446881,0.809778,0.634272,1.284765,0.241599,0.646064,0.335046,0.260783,1.885717,1.386785
xgboost,xgboost_36,"md=2,lr=0.1,ne=150,ss=1.0,cb=0.6,ra=0.0,rl=1.0",0.578055,0.475234,0.618248,0.445345,0.454462,0.806854,0.605561,1.383533,0.212246,0.693805,0.327986,0.237064,1.90773,1.545315
xgboost,xgboost_37,"md=3,lr=0.01,ne=200,ss=0.6,cb=1.0,ra=0.0,rl=0.1",0.551233,0.444834,0.597469,0.442713,0.409603,0.809048,0.543567,1.348873,0.238915,0.566152,0.338004,0.250582,2.00082,1.414743
xgboost,xgboost_38,"md=5,lr=0.1,ne=100,ss=0.6,cb=1.0,ra=1.0,rl=5.0",0.596385,0.496055,0.632063,0.442394,0.519582,0.822106,0.601457,0.72632,0.301007,0.858843,0.170906,0.235304,1.003979,0.567782
xgboost,xgboost_39,"md=4,lr=0.03,ne=200,ss=0.8,cb=0.6,ra=0.0,rl=0.1",0.579903,0.478144,0.61892,0.444937,0.459925,0.79529,0.619458,1.04437,0.221677,0.723811,0.248341,0.23779,1.449204,1.120284
xgboost,xgboost_40,"md=8,lr=0.03,ne=150,ss=0.8,cb=1.0,ra=0.0,rl=0.1",0.599115,0.499816,0.63332,0.447969,0.528066,0.819359,0.601067,1.009459,0.216085,0.864078,0.229607,0.227455,1.325931,1.062577
xgboost,xgboost_41,"md=3,lr=0.03,ne=300,ss=0.8,cb=0.8,ra=1.0,rl=0.1",0.576029,0.473735,0.616103,0.444606,0.454384,0.809151,0.595976,1.038463,0.264896,0.723477,0.250683,0.241398,1.484222,0.946344
xgboost,xgboost_42,"md=5,lr=0.05,ne=150,ss=1.0,cb=0.6,ra=1.0,rl=1.0",0.592062,0.49101,0.629059,0.440067,0.502291,0.820761,0.605131,1.032681,0.224911,0.80713,0.226373,0.219209,1.479724,1.006497
xgboost,xgboost_43,"md=5,lr=0.05,ne=500,ss=0.8,cb=0.6,ra=0.0,rl=1.0",0.613123,0.51284,0.646528,0.451128,0.539808,0.810398,0.651159,1.601329,0.183598,0.862391,0.340513,0.212644,2.341292,1.854668
xgboost,xgboost_44,"md=6,lr=0.005,ne=500,ss=0.8,cb=0.6,ra=0.01,rl=5.0",0.577412,0.475249,0.617202,0.44317,0.464007,0.803354,0.599117,1.104996,0.250429,0.738537,0.270732,0.245007,1.524408,1.081071
xgboost,xgboost_45,"md=3,lr=0.005,ne=200,ss=1.0,cb=0.6,ra=0.01,rl=0.1",0.575336,0.467712,0.62045,0.445983,0.456402,0.813296,0.585664,1.063858,0.201896,0.623986,0.253092,0.2379,1.658121,1.253577
xgboost,xgboost_46,"md=5,lr=0.1,ne=300,ss=1.0,cb=1.0,ra=0.01,rl=0.1",0.617719,0.516645,0.651259,0.450924,0.548594,0.824319,0.64704,0.809091,0.18149,0.905797,0.157276,0.194386,1.211912,0.866583
xgboost,xgboost_47,"md=5,lr=0.15,ne=500,ss=0.6,cb=0.6,ra=0.0,rl=0.1",0.628691,0.527853,0.660347,0.464507,0.576043,0.827125,0.64709,1.81218,0.162771,0.919562,0.352356,0.194438,2.599168,2.164742
xgboost,xgboost_48,"md=5,lr=0.05,ne=150,ss=0.6,cb=1.0,ra=0.01,rl=10.0",0.587179,0.487471,0.623486,0.443309,0.493173,0.809699,0.602534,1.505786,0.244036,0.810158,0.346307,0.229984,2.089275,1.419082
xgboost,xgboost_49,"md=8,lr=0.01,ne=100,ss=1.0,cb=0.8,ra=0.01,rl=5.0",0.582796,0.483685,0.619114,0.449418,0.495099,0.810164,0.576504,1.152691,0.211755,0.840195,0.250983,0.217737,1.72214,1.18525
