model,lambda,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_turnover
xgboost,0.1,0.2016,0.1746,1.1544,1.7218,1.2597,0.16,0.7533
xgboost,0.2,0.2271,0.2022,1.1233,1.7117,1.1622,0.1954,0.7722
xgboost,0.5,0.2257,0.229,0.9854,1.4907,1.0062,0.2243,0.7777
xgboost,1.0,0.216,0.2398,0.9007,1.3578,0.9225,0.2341,0.7815
xgboost,2.0,0.2102,0.2459,0.8549,1.282,0.9343,0.225,0.7856
xgboost,5.0,0.2108,0.2519,0.8368,1.2491,0.9434,0.2234,0.7668
xgboost,10.0,0.2084,0.2559,0.8142,1.2133,0.9327,0.2234,0.7604
