model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
xgboost,0.2,10,0.218,0.2022,1.0783,1.6385,1.1027,0.1977,2023-01-01,2025-12-31
xgboost,0.2,20,0.2089,0.2022,1.033,1.5654,1.0445,0.2,2023-01-01,2025-12-31
xgboost,0.2,30,0.1998,0.2023,0.9876,1.4924,0.9877,0.2023,2023-01-01,2025-12-31
