rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.773954,10,10
2023-03-01,0.717256,10,10
2023-04-03,0.784327,10,10
2023-05-01,0.76995,10,10
2023-06-01,0.8,10,10
2023-07-03,0.980983,10,10
2023-08-01,0.911216,10,10
2023-09-01,0.636401,10,10
2023-10-02,0.737546,10,10
2023-11-01,0.805166,10,10
2023-12-01,0.602268,10,10
2024-01-01,0.585322,10,10
2024-02-01,0.880218,10,10
2024-03-01,0.86821,10,10
2024-04-01,0.88,10,10
2024-05-01,0.480715,10,10
2024-06-03,0.64277,10,10
2024-07-01,0.644549,10,10
2024-08-01,0.758437,10,10
2024-09-02,0.97,10,10
2024-10-01,0.95089,10,10
2024-11-01,0.849573,10,10
2024-12-02,0.269939,10,10
2025-01-01,0.680565,10,10
2025-02-03,1.0,10,10
2025-03-03,1.0,10,10
2025-04-01,0.800446,10,10
2025-05-01,0.980789,10,10
2025-06-02,0.739924,10,10
2025-07-01,0.666038,10,10
2025-08-01,0.554878,10,10
2025-09-01,0.396692,10,10
2025-10-01,0.961356,10,10
2025-11-03,0.922049,10,10
2025-12-01,0.835769,10,10
