rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.812374,10,10
2023-03-01,0.792066,10,10
2023-04-03,0.665121,10,10
2023-05-01,0.79038,10,10
2023-06-01,0.8,10,10
2023-07-03,0.989966,10,10
2023-08-01,0.911216,10,10
2023-09-01,0.636285,10,10
2023-10-02,0.814951,10,10
2023-11-01,0.806617,10,10
2023-12-01,0.676425,10,10
2024-01-01,0.655231,10,10
2024-02-01,0.914315,10,10
2024-03-01,0.939055,10,10
2024-04-01,0.952795,10,10
2024-05-01,0.509753,10,10
2024-06-03,0.642881,10,10
2024-07-01,0.644549,10,10
2024-08-01,0.757988,10,10
2024-09-02,0.97,10,10
2024-10-01,0.98,10,10
2024-11-01,0.849573,10,10
2024-12-02,0.269939,10,10
2025-01-01,0.680565,10,10
2025-02-03,1.0,10,10
2025-03-03,1.0,10,10
2025-04-01,0.800446,10,10
2025-05-01,0.980789,10,10
2025-06-02,0.832746,10,10
2025-07-01,0.666038,10,10
2025-08-01,0.583499,10,10
2025-09-01,0.417814,10,10
2025-10-01,0.961356,10,10
2025-11-03,0.931555,10,10
2025-12-01,0.858481,10,10
