model,lambda,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end
xgboost,2.0,10,0.2009,0.2459,0.817,1.2222,0.8906,0.2256,2023-01-01,2025-12-31
xgboost,2.0,20,0.1917,0.246,0.779,1.1625,0.8415,0.2278,2023-01-01,2025-12-31
xgboost,2.0,30,0.1824,0.2461,0.741,1.103,0.7932,0.2299,2023-01-01,2025-12-31
