rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.688388,10,10
2023-03-01,0.700486,10,10
2023-04-03,0.784102,10,10
2023-05-01,0.76995,10,10
2023-06-01,0.8,10,10
2023-07-03,0.980983,10,10
2023-08-01,0.911244,10,10
2023-09-01,0.636401,10,10
2023-10-02,0.714843,10,10
2023-11-01,0.805166,10,10
2023-12-01,0.583536,10,10
2024-01-01,0.567757,10,10
2024-02-01,0.880218,10,10
2024-03-01,0.86821,10,10
2024-04-01,0.88,10,10
2024-05-01,0.480715,10,10
2024-06-03,0.64277,10,10
2024-07-01,0.644577,10,10
2024-08-01,0.758437,10,10
2024-09-02,0.960752,10,10
2024-10-01,0.913374,10,10
2024-11-01,0.849573,10,10
2024-12-02,0.269939,10,10
2025-01-01,0.680565,10,10
2025-02-03,1.0,10,10
2025-03-03,1.0,10,10
2025-04-01,0.800446,10,10
2025-05-01,0.980789,10,10
2025-06-02,0.739924,10,10
2025-07-01,0.666038,10,10
2025-08-01,0.554878,10,10
2025-09-01,0.396692,10,10
2025-10-01,0.961356,10,10
2025-11-03,0.922049,10,10
2025-12-01,0.818162,10,10
