date,model,model_date,k_removed,n_removed_features,fraction_features_removed,removed_features,RGE_star,n_assets
2023-04-03,ridge,2023-04-03,10,10,1.0,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m;log_mktcap,0.5,407
2023-05-01,ridge,2023-05-01,0,0,0.0,,1.0,407
2023-05-01,ridge,2023-05-01,1,1,0.1,ret_1w,0.999832,407
2023-05-01,ridge,2023-05-01,2,2,0.2,ret_1w;vol_3m,0.994086,407
2023-05-01,ridge,2023-05-01,3,3,0.3,ret_1w;vol_3m;ret_3m,0.991427,407
2023-05-01,ridge,2023-05-01,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_1m,0.989524,407
2023-05-01,ridge,2023-05-01,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio,0.991635,407
2023-05-01,ridge,2023-05-01,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m,0.949904,407
2023-05-01,ridge,2023-05-01,7,7,0.7,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud,0.924248,407
2023-05-01,ridge,2023-05-01,8,8,0.8,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m,0.910671,407
2023-05-01,ridge,2023-05-01,9,9,0.9,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m,0.86596,407
2023-05-01,ridge,2023-05-01,10,10,1.0,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-06-01,ridge,2023-06-01,0,0,0.0,,1.0,407
2023-06-01,ridge,2023-06-01,1,1,0.1,ret_1w,0.999551,407
2023-06-01,ridge,2023-06-01,2,2,0.2,ret_1w;ret_3m,0.996052,407
2023-06-01,ridge,2023-06-01,3,3,0.3,ret_1w;ret_3m;vol_3m,0.994957,407
2023-06-01,ridge,2023-06-01,4,4,0.4,ret_1w;ret_3m;vol_3m;vol_1m,0.992448,407
2023-06-01,ridge,2023-06-01,5,5,0.5,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio,0.990799,407
2023-06-01,ridge,2023-06-01,6,6,0.6,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;ret_1m,0.939036,407
2023-06-01,ridge,2023-06-01,7,7,0.7,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;ret_1m;amihud,0.91609,407
2023-06-01,ridge,2023-06-01,8,8,0.8,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m,0.91226,407
2023-06-01,ridge,2023-06-01,9,9,0.9,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m,0.883874,407
