date,model,k_removed,n_removed_segments,fraction_data_removed,RGA,random_RGA,n_assets_full,n_assets_remaining
2023-08-01,ridge,6,6,0.6,0.503887,0.525258,407,161
2023-08-01,ridge,7,7,0.7,0.517831,0.512131,407,120
2023-08-01,ridge,8,8,0.8,0.646898,0.5336,407,80
2023-08-01,ridge,9,9,0.9,0.639189,0.50962,407,40
2023-08-01,ridge,10,10,1.0,0.0,0.0,407,0
2023-09-01,ridge,0,0,0.0,0.46086,0.469367,407,407
2023-09-01,ridge,1,1,0.1,0.473641,0.473289,407,366
2023-09-01,ridge,2,2,0.2,0.464487,0.478122,407,325
2023-09-01,ridge,3,3,0.3,0.474134,0.488638,407,284
2023-09-01,ridge,4,4,0.4,0.490625,0.507151,407,243
2023-09-01,ridge,5,5,0.5,0.536489,0.511992,407,202
2023-09-01,ridge,6,6,0.6,0.493287,0.512323,407,161
2023-09-01,ridge,7,7,0.7,0.463186,0.495664,407,120
2023-09-01,ridge,8,8,0.8,0.47968,0.524453,407,80
2023-09-01,ridge,9,9,0.9,0.381946,0.578316,407,40
2023-09-01,ridge,10,10,1.0,0.0,0.0,407,0
2023-10-02,ridge,0,0,0.0,0.407,0.494544,407,407
2023-10-02,ridge,1,1,0.1,0.442186,0.50528,407,366
2023-10-02,ridge,2,2,0.2,0.452855,0.50635,407,325
2023-10-02,ridge,3,3,0.3,0.438633,0.509099,407,284
2023-10-02,ridge,4,4,0.4,0.456183,0.514617,407,243
2023-10-02,ridge,5,5,0.5,0.5092,0.503745,407,202
2023-10-02,ridge,6,6,0.6,0.529694,0.500785,407,161
2023-10-02,ridge,7,7,0.7,0.509315,0.505794,407,120
2023-10-02,ridge,8,8,0.8,0.482355,0.494922,407,80
2023-10-02,ridge,9,9,0.9,0.557994,0.438192,407,40
2023-10-02,ridge,10,10,1.0,0.0,0.0,407,0
2023-11-01,ridge,0,0,0.0,0.60621,0.515716,407,407
2023-11-01,ridge,1,1,0.1,0.566673,0.522175,407,366
2023-11-01,ridge,2,2,0.2,0.56455,0.538444,407,325
2023-11-01,ridge,3,3,0.3,0.585004,0.54344,407,284
2023-11-01,ridge,4,4,0.4,0.559041,0.570203,407,243
2023-11-01,ridge,5,5,0.5,0.589116,0.573705,407,202
2023-11-01,ridge,6,6,0.6,0.499657,0.581343,407,161
2023-11-01,ridge,7,7,0.7,0.535357,0.59618,407,120
2023-11-01,ridge,8,8,0.8,0.520786,0.585123,407,80
2023-11-01,ridge,9,9,0.9,0.498878,0.651917,407,40
2023-11-01,ridge,10,10,1.0,0.0,0.0,407,0
2023-12-01,ridge,0,0,0.0,0.457778,0.520261,407,407
2023-12-01,ridge,1,1,0.1,0.46796,0.517865,407,366
2023-12-01,ridge,2,2,0.2,0.469202,0.525827,407,325
2023-12-01,ridge,3,3,0.3,0.44854,0.526206,407,284
2023-12-01,ridge,4,4,0.4,0.430579,0.533271,407,243
2023-12-01,ridge,5,5,0.5,0.445422,0.537181,407,202
2023-12-01,ridge,6,6,0.6,0.421582,0.522916,407,161
2023-12-01,ridge,7,7,0.7,0.444234,0.547233,407,120
2023-12-01,ridge,8,8,0.8,0.454573,0.56798,407,80
2023-12-01,ridge,9,9,0.9,0.488448,0.588742,407,40
2023-12-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-01-01,ridge,0,0,0.0,0.446699,0.452497,407,407
2024-01-01,ridge,1,1,0.1,0.425038,0.448895,407,366
2024-01-01,ridge,2,2,0.2,0.427289,0.458258,407,325
