year,mean_IC,hit_rate,mean_pearson,mean_r2_rank,n_dates
2023,0.0259,0.5,0.0305,-0.0135,12
2024,-0.0383,0.3333,-0.0422,-0.0362,12
2025,0.0111,0.5455,0.0156,-0.0139,11
all,-0.0008,0.4571,0.0009,-0.0214,35
